Date,Active Address Count,Block Count,Block Size Bytes,MVRV Ration,Market Cap (USD),Realized Market Cap (USD),Mean Difficulty,Mean Fee (USD),Total Fees,HashRate,Issuance BTC,Issuance USD,NVT Ratio,NVTAdj90,PriceUSD,Supply Total,Transaction Count,Volume USD
11/28/2012,44590,172,17371057,1.74127299,129500185.1,74370983.74,3438908.96,0.014378459,543.3763391,29.40324376,7000,86321.61879,33.51921344,33.29351149,12.33165983,10501439.94,37791,3863461.335
11/29/2012,41205,166,17037899,1.76192076,131295308.6,74518282.44,3438908.96,0.009942983,361.7157865,28.37754921,4150,51865.29586,44.05547098,33.96798011,12.49766165,10505589.94,36379,2980227.101
11/30/2012,37930,125,13725195,1.77041545,132264146.2,74707971.26,3438908.96,0.009597397,294.3233759,21.36863646,3125,39331.68415,39.62254747,34.26600776,12.58613893,10508714.94,30667,3338103.041
12/1/2012,33858,167,15061838,1.76938314,132382377.3,74818378.24,3438908.96,0.009968716,323.225633,28.5484983,4175,52573.21518,55.84828325,34.30274069,12.59238687,10512889.94,32424,2370392.957
12/2/2012,28210,143,9516692,1.75501044,131434197.9,74890835.37,3438908.96,0.009358236,188.3438669,24.4457201,3575,44680.1525,54.58458558,34.0898896,12.49794476,10516464.94,20126,2407899.528
12/3/2012,30532,147,10755161,1.77399667,133152967.7,75058183.56,3438908.96,0.01067536,236.9716351,25.12951647,3675,46514.32005,29.36780649,34.55050465,12.65695784,10520139.94,22198,4533977.289
12/4/2012,43912,112,15858788,1.85774266,140687388.2,75730288.66,3438908.96,0.011714067,388.5204484,19.14629826,2800,37434.85083,25.77175949,36.29633094,13.36958958,10522939.94,33167,5458974.899
12/5/2012,44654,122,16551375,1.84294645,140129874.9,76035782.39,3438908.96,0.01067529,361.849615,20.85578918,3050,40603.88818,32.23645835,36.11505686,13.31275022,10525989.94,33896,4346937.662
12/6/2012,38984,137,17166587,1.8612199,141914660,76248196.17,3438908.96,0.01145127,406.9323368,23.42002555,3425,46161.89155,25.8131103,36.30108846,13.47792454,10529414.94,35536,5497774.515
12/7/2012,42135,129,14673782,1.8543992,141951363.4,76548438.5,3438908.96,0.010215108,334.279192,22.05243282,3225,43464.2359,31.22478451,36.11605926,13.47728245,10532639.94,32724,4546111.866
12/8/2012,37725,138,14182331,1.85513901,142237049.9,76671909.4,3438908.96,0.010514271,338.685684,23.59097465,3450,46574.94621,48.3405819,36.45021246,13.49998441,10536089.94,32212,2942394.243
12/9/2012,37568,126,14827101,1.83087828,140662080.6,76827652.47,3438908.96,0.010282514,326.5623767,21.53958555,3150,42041.50931,45.83915603,36.27178785,13.34651089,10539239.94,31759,3068601.012
12/10/2012,36630,143,17072988,1.84712224,142246364.2,77009718.66,3420165.189,0.011572458,421.0060337,24.31247872,3575,48234.81728,34.38513364,36.75442379,13.49225658,10542814.93,36380,4136856.517
12/11/2012,37496,144,17185446,1.85959868,143593823.1,77217640.86,3370181.799,0.011693543,431.2695775,24.12470102,3600,49015.4964,32.57481085,37.00857391,13.61541567,10546414.93,36881,4408124.54
12/12/2012,43207,130,17571795,1.86112478,144195074.2,77477381.29,3370181.799,0.01071604,395.0575352,21.77924397,3250,44421.69434,23.07895617,36.8504296,13.66821364,10549664.93,36866,6247902.769
12/13/2012,45680,131,18956443,1.86515926,145158343.1,77826245.85,3370181.799,0.014591679,607.4078304,21.94677662,3275,45048.44873,19.1450541,36.694618,13.75525152,10552939.93,41627,7582028.358
12/14/2012,41691,106,17737341,1.84173767,143565758,77951252.47,3370181.799,0.01119638,432.4153891,17.75846047,2650,36042.44397,23.34355671,35.99808113,13.60092225,10555589.93,38621,6150123.555
12/15/2012,35878,116,14852806,1.83124675,142866381.3,78015909.63,3370181.799,0.010348132,341.9747152,19.43378693,2900,39239.75004,39.56680513,35.73424618,13.53094829,10558489.93,33047,3610763.638
12/16/2012,35213,111,16115199,1.80326306,140811878.1,78087263.85,3370181.799,0.010422807,376.5551548,18.5961237,2775,36998.68949,42.80898392,35.31416022,13.33286108,10561264.93,36128,3289306.711
12/17/2012,41616,134,17970760,1.80108367,140721431,78131534.47,3370181.799,0.010839387,440.6861281,22.44937456,3350,44622.24104,35.31126754,35.31451907,13.32007195,10564614.93,40656,3985170.763
12/18/2012,47617,125,22325004,1.79259699,140255402.3,78241458.22,3370181.799,0.010578418,525.5252236,20.94158074,3125,41475.10584,27.43600812,35.19888925,13.27203387,10567739.93,49679,5112092.169
12/19/2012,45631,142,19929258,1.82412757,143119865.2,78459350.99,3370181.799,0.010663871,489.3757159,23.78963572,3550,48061.82829,29.28189516,35.96381926,13.53854318,10571289.93,45891,4887657.181
12/20/2012,38978,106,16085281,1.82505515,143488650.6,78621542.33,3370181.799,0.011763167,410.5698149,17.75846047,2650,35960.57162,40.56069464,36.29878402,13.57002703,10573939.93,34903,3537628.038
12/21/2012,45877,126,19192420,1.80384887,142039402.2,78742407.15,3370181.799,0.011257289,497.0318324,21.10911339,3150,42301.24921,29.75354954,35.74383288,13.428968,10577089.93,44152,4773864.107
12/22/2012,54007,153,21027647,1.80284753,142072208.1,78804339.11,3370181.799,0.010724326,537.6319124,25.63249483,3825,51359.09322,40.10298045,35.70486777,13.42721391,10580914.93,50132,3542684.522
12/23/2012,41727,122,16831163,1.78784107,140958364.2,78842782.38,3370181.799,0.01137451,432.6294973,20.43898281,3050,40620.22256,51.36814472,35.64661519,13.31810576,10583964.93,38035,2744081.278
12/24/2012,39081,132,17569276,1.80152292,142151634.8,78906370.52,3370181.799,0.010494366,365.9070727,22.11430926,3300,44307.98682,26.42975816,35.99107651,13.42666267,10587264.93,34867,5378468.993
12/25/2012,30567,124,13121596,1.79274659,141546232,78954958.06,3370181.799,0.011020747,329.0354223,20.7740481,3100,41433.25771,48.73945507,36.02373528,13.365567,10590364.93,29856,2904140.635
12/26/2012,38979,154,17880412,1.80324201,142541973.1,79047611.24,3169837.193,0.010648504,384.6346185,24.26631308,3850,51800.59122,38.44228111,36.39055267,13.45469902,10594214.92,36121,3707947.838
12/27/2012,36158,156,20413480,1.79484765,142007355,79119447.65,2979636.617,0.011394975,495.9093269,23.10649218,3900,52257.28241,34.97391621,36.32805315,13.39930318,10598114.92,43520,4060379.003
12/28/2012,42277,169,21667850,1.80018039,142659861.4,79247536.82,2979636.617,0.010700026,502.6872148,25.0320332,4225,56849.51801,25.77820946,36.30916626,13.45550722,10602339.92,46980,5534126.086
12/29/2012,41463,144,18070794,1.78895887,141843881.4,79288508.98,2979636.617,0.010520157,406.3831627,21.32906971,3600,48146.4139,31.5634731,36.01658646,13.37400386,10605939.92,38629,4493925.019
12/30/2012,43096,166,18185493,1.79682629,142652805.3,79391539.67,2979636.617,0.010436567,447.3425926,24.58767758,4150,55796.80727,39.0214865,36.37559966,13.4450138,10610089.92,42863,3655750.155
12/31/2012,36527,158,14410170,1.80428719,143773034.3,79684118.5,2979636.617,0.01091835,337.2132293,23.40272926,3950,53504.93215,27.42731923,36.7700088,13.54555244,10614039.91,30885,5241964.521
1/1/2013,38733,162,14742207,1.77533304,141553700.4,79733603.18,2979636.617,0.010711371,352.3184048,23.99520342,4050,53992.05426,31.82114473,36.40382641,13.33137142,10618089.91,32892,4448416.346
1/2/2013,40911,153,16942952,1.7682754,141065475.5,79775738.17,2979636.617,0.010921382,410.8514843,22.66213656,3825,50798.32106,28.01564172,36.32418426,13.28060681,10621914.91,37619,5035239.846
1/3/2013,52539,162,18024651,1.78037669,142218776.6,79881284.38,2979636.617,0.01190105,518.0883971,23.99520342,4050,54205.52865,33.51214353,36.63827763,13.38408115,10625964.91,43533,4243798.266
1/4/2013,46781,153,21347475,1.78670376,142988969.7,80029478.33,2979636.617,0.01069926,506.8239652,22.66213656,3825,51452.8334,27.04729044,36.59718421,13.45172115,10629789.9,47370,5286628.247
1/5/2013,53959,141,16725627,1.78641402,143118110.5,80114748.7,2979636.617,0.010665439,424.6017993,20.88471409,3525,47444.40885,32.50245545,36.48253798,13.45940677,10633314.9,39811,4403301.491
1/6/2013,42382,145,14660258,1.79112313,143646517.7,80199130.5,2979636.617,0.01433416,471.9952088,21.47718825,3625,48953.79984,37.86154187,36.60218596,13.50449651,10636939.9,32928,3793995.454
1/7/2013,54059,168,18118304,1.79609055,144251948.6,80314407.49,2979636.617,0.012140797,490.7431448,24.88391466,4200,56935.45896,31.55084615,36.69549329,13.55606166,10641139.9,40421,4572046.908
1/8/2013,56753,133,19714565,1.82064961,146684458.6,80567099.7,3127784.336,0.011579156,449.7344209,20.67923936,3325,45819.66585,22.29032816,37.01007052,13.78035063,10644464.9,38840,6580632.528
1/9/2013,54910,130,19461261,1.82378518,147161591.2,80690200.09,3249549.584,0.010493363,447.6888527,20.99967818,3250,44918.10458,26.73181732,36.96532212,13.82095526,10647714.9,42664,5505109.863
1/10/2013,60507,147,23784606,1.85730887,150431420.6,80994294.19,3249549.584,0.041395217,2176.726095,23.74578994,3675,51902.66024,26.83258012,37.64860654,14.12317286,10651389.89,52584,5606297.269
1/11/2013,61989,117,22081461,1.86676138,151585555.6,81202427.38,3249549.584,0.011661771,612.6394706,18.89971036,2925,41615.79178,26.44723965,37.60377127,14.22762112,10654314.89,52534,5731621.055
1/12/2013,49915,122,19974375,1.86299654,151486828.9,81313532.03,3249549.584,0.011080152,511.9141026,19.70739029,3050,43353.57125,41.04788329,37.50398694,14.21428566,10657364.89,46201,3690490.637
1/13/2013,55725,133,21881190,1.85333941,150963772.3,81455005.81,3249549.584,0.01128772,561.9591615,21.48428614,3325,47084.62099,32.89269101,37.29105355,14.16078827,10660689.89,49785,4589584.121
1/14/2013,44616,157,19453603,1.87068729,152695639.5,81625421.85,3249549.584,0.011392779,495.0048728,25.36114981,3925,56198.03351,35.32717592,37.71865939,14.31797032,10664614.89,43449,4322327.939
1/15/2013,59643,121,19696305,1.86625363,152692733,81817782.27,3249549.584,0.010478343,483.1249819,19.54585431,3025,43298.7542,23.88831512,37.61678144,14.31363775,10667639.89,46107,6391942.349
1/16/2013,55537,131,23073369,1.91141576,156945831.9,82109729.9,3249549.584,0.011417834,591.4437976,21.16121417,3275,48168.09101,24.68216072,38.44376914,14.70781405,10670914.89,51800,6358674.738
1/17/2013,59029,111,22622169,2.0121271,166494616.3,82745576.01,3249549.584,0.012360169,604.4246061,17.93049445,2775,43286.11428,20.91935146,40.30191226,15.59859974,10673689.89,48901,7958880.396
1/18/2013,57683,121,22727712,2.01889919,167793021,83111143.86,3249549.584,0.011906948,588.0246255,19.54585431,3025,47540.26815,22.21664371,40.33944715,15.71579112,10676714.88,49385,7552581.891
1/19/2013,49445,154,24078631,1.99859889,166489995.4,83303356.11,3249549.584,0.018043977,995.7929329,24.87654185,3850,60014.28664,33.83036764,39.80501845,15.5881264,10680564.88,55187,4921317.946
1/20/2013,45027,130,18327499,2.01174993,167945212.4,83482151.68,3249549.584,0.012209772,503.5554115,20.99967818,3250,51088.67445,35.61589031,40.07210515,15.71959214,10683814.88,41242,4715457.368
1/21/2013,47104,132,18538549,2.13015937,179340683.4,84191204.52,3249549.584,0.012384268,503.321435,21.32275015,3300,55377.36442,26.05676544,42.53578798,16.78101952,10687114.88,40642,6882691.707
1/22/2013,51489,144,20356256,2.1703499,184951279.3,85217263.55,3249549.584,0.014052414,595.7801986,23.26118199,3600,62280.64382,21.20166113,43.32253219,17.30017884,10690714.88,42397,8723433.419
1/23/2013,48584,126,22370001,2.18559134,187531843,85803708.85,3176013.471,0.015950235,755.3871729,19.89294123,3150,55239.64558,16.22344172,43.21107695,17.53639542,10693864.87,47359,11559313.14
1/24/2013,59644,156,23367193,2.09953529,180803844.9,86116125.87,2968775.332,0.016230882,740.3879062,23.02226507,3900,65914.23568,19.24684752,41.06641792,16.90108607,10697764.87,45616,9393945.928
1/25/2013,51061,137,22806385,2.15223509,186277774,86550848.86,2968775.332,0.014798978,732.6381883,20.21827125,3425,59619.66695,21.61100998,41.74704505,17.40720203,10701189.87,49506,8619577.435
1/26/2013,55140,156,23969108,2.16087068,187913177.8,86961787.92,2968775.332,0.016065915,846.8183204,23.02226507,3900,68459.15379,24.51572383,41.5833865,17.55362918,10705089.87,52709,7665006.308
1/27/2013,48552,151,23858493,2.18079976,191309887.3,87724646.29,2968775.332,0.01543851,829.5574595,22.28437196,3775,67438.97076,18.38837656,41.61765645,17.86462801,10708864.86,53733,10403848.68
1/28/2013,54409,147,25088611,2.27526587,201334311.7,88488257.45,2968775.332,0.015734297,829.7638711,21.69405747,3675,69068.92341,16.47595291,43.00839806,18.79426487,10712539.86,52736,12219888.75
1/29/2013,54460,158,24572473,2.32416991,209129236.7,89980184.05,2968775.332,0.018831766,950.1002556,23.31742231,3950,77083.12104,13.45668318,43.45663413,19.51471419,10716489.86,50452,15540920
1/30/2013,45601,153,19347751,2.32557517,211591642.9,90984650.13,2968775.332,0.016616492,680.2293379,22.5795292,3825,75495.73358,16.78165409,43.15968003,19.73744669,10720314.86,40937,12608509.38
1/31/2013,48166,193,24433443,2.38254625,219990240.1,92334090.03,2968775.332,0.019083167,1001.236524,28.48267409,4825,98968.67762,17.82940152,43.97420138,20.51164303,10725139.85,52467,12338621.68
2/1/2013,61865,147,25792682,2.33077644,219330148.6,94101752.92,2968775.332,0.018207538,1047.261182,21.69405747,3675,75128.36294,18.67903207,42.94805662,20.44309196,10728814.85,57518,11742051.08
2/2/2013,57947,153,24470851,2.2350697,210745061.1,94290151.86,2968775.332,0.026664626,1453.835391,22.5795292,3825,75107.32402,20.59536464,40.57603045,19.63590171,10732639.85,54523,10232645.3
2/3/2013,56035,186,27444819,2.32891208,220962040.2,94877793.73,2968775.332,0.017545217,1061.117171,27.44962373,4650,95692.06953,25.21070134,42.07075346,20.57893968,10737289.85,60479,8764612.977
2/4/2013,59362,164,25362449,2.30317042,219559249.9,95329137.62,2968775.332,0.016746772,933.7832737,24.20289405,4100,83806.00064,17.75105284,41.0458416,20.44048796,10741389.85,55759,12368801.55
2/5/2013,60191,167,23814275,2.31494333,221996328.5,95897089.93,3124874.653,0.01642451,884.3448715,25.94150638,4175,86252.76424,18.73874474,40.78174402,20.65934473,10745564.85,53843,11846915.66
2/6/2013,53114,146,18714374,2.36137756,227975427.5,96543403.73,3275464.587,0.016049657,672.3201391,23.77233725,3650,77411.26419,19.19830362,41.16667068,21.20856553,10749214.85,41890,11874769.36
2/7/2013,60065,154,28141437,2.44320117,237833763.2,97345141.44,3275464.587,0.01758677,1110.95623,25.07493108,3850,85153.39594,19.17496936,42.1365846,22.11776518,10753064.84,63170,12403345.15
2/8/2013,61292,151,26992853,2.48951622,245120036.3,98460911.46,3275464.587,0.018389322,1099.902099,24.58645839,3775,86022.30306,21.09718623,42.6051761,22.78736505,10756839.84,59812,11618612.72
2/9/2013,55866,143,25546574,2.57029343,255386181.1,99360710.55,3275464.587,0.018655122,1071.997957,23.28386457,3575,84848.55005,23.42030961,43.63656135,23.73386015,10760414.84,57464,10904475.02
2/10/2013,56414,161,24687937,2.57573299,257273227,99883500.51,3275464.587,0.019256576,1080.255376,26.21470067,4025,96198.66466,28.57413802,43.40647715,23.90028936,10764439.84,56098,9003709.115
2/11/2013,53214,159,26448789,2.61956557,263796794.9,100702497.2,3275464.587,0.020979291,1211.575014,25.88905221,3975,97376.65896,29.28077618,44.03976158,24.49727269,10768414.84,57751,9009214.552
2/12/2013,52230,139,26803418,2.64695645,269078968.8,101655986.3,3275464.587,0.020610774,1206.121889,22.63256766,3475,86804.58402,25.54764259,44.32286443,24.97973641,10771889.84,58519,10532438.28
2/13/2013,51607,171,27024562,2.58643345,265542492.3,102667436.6,3275464.587,0.023653795,1376.532611,27.84294295,4275,105343.0577,26.41925125,43.26431589,24.64165093,10776164.84,58195,10051098.34
2/14/2013,52507,151,23897989,2.81731895,294102520.8,104390921.4,3275464.587,0.023151988,1191.517075,24.58645839,3775,102991.0216,23.21144941,47.29571864,27.28238982,10779939.84,51465,12670579.75
2/15/2013,49480,179,25681631,2.76388477,293026238.9,106019701.8,3275464.587,0.028129076,1531.065632,29.14553677,4475,121591.4298,27.67382649,46.55368599,27.17126923,10784414.83,54430,10588569.64
2/16/2013,47477,189,24140401,2.75541364,295041582.6,107077056.5,3275464.587,0.02754363,1441.936586,30.77377905,4725,129210.6228,35.51694816,46.52656254,27.34616356,10789139.83,52351,8307064.594
2/17/2013,46362,188,23574432,2.69341809,290648438.4,107910628.3,3275464.587,0.024951561,1234.079239,30.61095482,4700,126558.0815,33.06753166,45.40564734,26.92725138,10793839.83,49459,8789541.396
2/18/2013,46855,161,23336678,2.67527962,290774272.7,108689301.3,3651011.631,0.024376601,1221.170201,29.22033639,4025,108388.6922,28.46374308,44.93380601,26.92886764,10797864.83,50096,10215602.07
2/19/2013,49090,159,25084180,2.87905367,317721259.2,110356143.3,3651011.631,0.024905777,1330.566248,28.85735084,3975,116919.1569,27.69908994,48.44591802,29.41362438,10801839.83,53424,11470458.41
2/20/2013,50898,193,29165179,2.88625353,322252661.8,111650850.6,3651011.631,0.025090602,1511.533149,35.02810511,4825,143880.5699,25.45207908,48.38776003,29.81980723,10806664.82,60243,12661152.78
2/21/2013,51627,176,24977017,2.8644687,322365075.9,112539220.8,3651011.631,0.027352518,1541.451148,31.94272797,4400,131199.5032,28.22168646,47.79555406,29.81806892,10811064.82,56355,11422601.42
2/22/2013,54361,170,28389236,2.89510636,329571373.9,113837397.5,3651011.631,0.026405622,1626.559893,30.85377134,4250,129508.7903,23.89486335,48.05355422,30.47265653,10815314.82,61599,13792561.57
2/23/2013,51159,164,26808230,2.81513609,322488396.1,114555171.2,3651011.631,0.024714311,1426.04043,29.7648147,4100,122206.4636,30.65875443,46.43222744,29.80645455,10819414.82,57701,10518639.85
2/24/2013,52275,156,24814109,2.78872419,323431477,115978295,3651011.631,0.023506097,1331.479367,28.31287252,3900,116543.1091,31.50744863,46.10945369,29.88284849,10823314.82,56644,10265238.57
2/25/2013,56529,204,30672646,2.77552491,328664405,118415224.4,3651011.631,0.030341453,2041.676339,37.02452561,5100,154795.3688,23.21674919,46.13085605,30.35203309,10828414.82,67290,14156349.03
2/26/2013,58302,166,28943211,2.82058485,337494377.8,119654041.8,3651011.631,0.027922384,1764.443392,30.12780025,4150,129295.48,25.43000004,46.68524226,31.15553735,10832564.82,63191,13271505.2
2/27/2013,55511,193,28322391,2.81550442,338562887.4,120249460.5,3651011.631,0.029495593,1798.346301,35.02810511,4825,150734.2597,30.09586711,46.24528224,31.24026108,10837389.82,60970,11249481.07
2/28/2013,59466,168,29167759,2.93242114,361841246.9,123393342.7,3651011.631,0.030875648,1937.848323,30.49078579,4200,140176.2345,18.54968658,48.24115559,33.37529394,10841589.82,62763,19506596.26
3/1/2013,62746,152,29916667,2.99916694,375318347.6,125140865.6,3867957.427,0.036689619,2364.976123,29.2261354,3800,131503.7767,26.89135088,49.19360295,34.60625703,10845389.82,64459,13956842.45
3/2/2013,49881,145,26136609,2.94238341,370423510.1,125892332.4,4367876.001,0.031085437,1734.691712,31.48360259,3625,123770.2452,29.81204548,47.85389487,34.14351592,10849014.81,55804,12425296.69
3/3/2013,44647,161,24818643,2.95351788,373906111.2,126596867.3,4367876.001,0.028635097,1520.752721,34.95765529,4025,138668.2555,50.30328991,48.1036261,34.45174048,10853039.81,53108,7433034.934
3/4/2013,54208,179,29439449,3.07990408,394955838.8,128236408.7,4367876.001,0.031513124,2016.272676,38.86596457,4475,162783.787,30.98871108,50.28794276,36.37626525,10857514.81,63982,12745152.19
3/5/2013,56444,139,27138089,3.34059331,441748538.9,132236551.5,4367876.001,0.036931656,2073.601712,30.18083283,3475,141338.5151,22.00762424,55.02175387,40.67295399,10860989.81,56147,20072522.78
3/6/2013,70524,155,30170115,3.41073072,470285631.9,137884128.4,4367876.001,0.107830365,6818.545331,33.65488553,3875,167729.3602,16.55848051,56.77651169,43.28499619,10864864.81,63234,28401496.84
3/7/2013,67349,160,32626835,3.24461202,455921062.3,140516357.4,4367876.001,0.038961178,2618.541836,34.74052699,4000,167789.7629,19.88210004,53.71752029,41.94744072,10868864.81,67209,22931232.69
3/8/2013,56370,160,25710770,3.35334641,477350610.9,142350521.7,4367876.001,0.037608206,2075.521659,34.74052699,4000,175611.7157,31.14251946,55.34501007,43.90292891,10872864.81,55188,15327938.11
3/9/2013,53106,169,26355274,3.50857536,510011367.7,145361383.3,4367876.001,0.043841819,2439.314975,36.69468164,4225,198104.2784,34.46003276,58.2514103,46.88858661,10877089.81,55639,14800083.66
3/10/2013,56596,183,33704235,3.41442475,501275189.7,146811022.6,4367876.001,0.038358303,2797.317578,39.73447775,4575,210752.126,40.66858856,56.66471861,46.06603846,10881664.81,72926,12325856.57
3/11/2013,53342,164,28181326,3.52669627,525511108.1,149009460.3,4367876.001,0.05197186,3043.160302,35.60904017,4100,197927.8058,34.24439553,58.59933757,48.27507458,10885764.81,58554,15345901.13
3/12/2013,61248,135,24480999,3.21775227,483625303.8,150299110.4,4367876.001,0.048308809,2406.599961,29.31231965,3375,149895.7152,24.65655537,53.05011751,44.41354526,10889139.81,49817,19614471.55
3/13/2013,62068,157,26249606,3.35448171,512150414,152676466.6,4367876.001,0.043979113,2472.021953,34.08914211,3925,184538.5491,26.61585132,55.39190201,47.01619085,10893064.81,56209,19242308.2
3/14/2013,61917,179,28145249,3.31080577,511373186,154455809.7,4678789.149,0.042501036,2482.145494,41.63251276,4475,209991.8924,26.73777054,54.4586733,46.92556255,10897539.81,58402,19125498.34
3/15/2013,63245,172,29794974,3.27320999,511323729.7,156214765.3,4847647.152,0.048764329,3066.300993,41.44818968,4300,201680.8242,29.82250392,53.59505867,46.90251725,10901839.81,62880,17145566.69
3/16/2013,50966,175,17214288,3.26643484,514304542.9,157451340.2,4847647.152,0.044193379,1457.806983,42.17112322,4375,206311.9437,35.08016314,53.20289994,47.1570157,10906214.81,32987,14660836.69
3/17/2013,52184,209,16952657,3.25507816,516476633.8,158667967.1,4847647.152,0.042237526,1488.788321,50.36437002,5225,247317.5364,40.45671761,52.89374399,47.33349978,10911439.81,35248,12766152.68
3/18/2013,59594,190,20622025,3.46957223,560714853.2,161609217.5,4847647.152,0.044821531,1941.848009,45.78579093,4750,243985.8229,30.5337171,56.5712398,51.36543639,10916189.81,43324,18363792.77
3/19/2013,67946,170,22397187,3.86035942,649750892.1,168313574.5,4847647.152,0.067092735,3073.987843,40.96623399,4250,252869.0547,23.00624828,63.8817151,59.49860111,10920439.81,45817,28242366.34
3/20/2013,62822,211,21949702,4.00566845,695831303.4,173711656.9,4847647.152,0.051184349,2359.700867,50.84632572,5275,335951.486,26.63636493,66.76492546,63.6874855,10925714.81,46102,26123358.24
3/21/2013,70563,218,27885056,4.23461019,775211153.6,183065528.6,4847647.152,0.06453224,3599.73739,52.53317065,5450,386500.5113,23.09751486,72.16648677,70.91752501,10931164.81,55782,33562535.11
3/22/2013,74587,229,29941145,4.05568242,763898930.1,188352748.2,4847647.152,0.078549294,4733.301909,55.18392696,5725,399868.834,28.30841046,69.42988386,69.84608454,10936889.81,60259,26984875.44
3/23/2013,67002,217,26887953,3.70672564,704500327.6,190060014.1,4847647.152,0.06435706,3357.700878,52.2921928,5425,349278.4063,33.10587941,62.85462585,64.38311637,10942314.81,52173,21280217.9
3/24/2013,69595,189,25183004,4.02556381,784797927.6,194953542.9,5629945.197,0.057426554,2975.327211,52.89469171,4725,338737.2544,39.72686505,69.03482098,71.69042421,10947039.81,51811,19754841.63
3/25/2013,64715,144,23520498,4.02378239,813786824,202244243,6695826.283,0.067160749,3197.791915,47.93059151,3600,267530.7213,22.50106435,69.33085901,74.31408925,10950639.81,47614,36166592.45
3/26/2013,74037,151,24875855,4.15075356,861172528.4,207473779.5,6695826.283,0.072361024,3622.971732,50.26055082,3775,296768.5953,26.91305709,71.45434718,78.61419743,10954414.81,50068,31998316.86
3/27/2013,72482,131,24690610,4.49610198,973613530.4,216546140.2,6695826.283,0.10141728,5274.915571,43.60352422,3275,290990.5617,24.4528151,78.2059663,88.85207991,10957689.81,52012,39816010
3/28/2013,94934,183,32273419,4.28052357,961096549.5,224527802,6695826.283,0.0877579,5423.087175,60.91179337,4575,401104.7709,22.46497914,74.71665959,87.67317396,10962264.81,61796,42781991.64
3/29/2013,81683,174,30712711,4.30087359,990238153.5,230241166.9,6695826.283,0.088921799,5431.432412,57.9161314,4350,392786.2922,27.33921589,74.92873502,90.29569936,10966614.81,61081,36220429.93
3/30/2013,79925,173,33778295,4.24924608,1011410502,238021164.9,6695826.283,0.099821957,6055.100084,57.58328007,4325,398721.5769,30.28666015,74.66397613,92.18995999,10970939.81,60659,33394586.81
3/31/2013,63898,169,24090862,4.26532297,1030559617,241613501,6695826.283,0.097565525,4237.661033,56.25187475,4225,396724.2823,41.12708825,74.86081834,93.89923842,10975164.81,43434,25057928.02
4/1/2013,76869,198,27667720,4.45266486,1137324101,255425489.5,6695826.283,0.085171798,4475.352104,65.90456332,4950,512722.7172,27.85669499,80.25966752,103.5803469,10980114.81,52545,40827675.4
4/2/2013,90297,181,31674424,4.75336825,1281687160,269637674.4,6695826.283,0.113452111,7092.00489,60.24609071,4525,527976.7477,22.68516944,86.93899184,116.6799442,10984639.81,62511,56498901.78
4/3/2013,109240,175,32892259,4.85046378,1443789615,297660117.1,6695826.283,0.15522092,10148.65419,58.24898273,4375,574808.541,17.92109722,92.60776579,131.3848094,10989014.81,65382,80563684.11
4/4/2013,107866,154,33483603,4.73920513,1462129293,308517832.2,6695826.283,0.142440034,9331.673966,51.2591048,3850,512077.4138,28.07466616,90.75742375,133.0071205,10992864.81,65513,52080024.22
4/5/2013,99406,158,29887423,4.71276367,1568432429,332805236.7,7035981.663,0.133136582,8096.834345,55.2621662,3950,563372.9587,23.49212211,93.34130277,142.6260655,10996814.81,60816,66764186.79
4/6/2013,78563,163,25978785,4.6145611,1574027368,341100125.1,7672999.92,0.107999916,5587.267669,62.17258387,4075,583058.4286,40.07134019,91.52655267,143.081823,11000889.81,51734,39280627
4/7/2013,78312,164,33656358,5.04960835,1792186961,354916032.2,7672999.92,0.13894276,8783.266597,62.55401076,4100,667694.0798,39.47070944,101.533439,162.8522146,11004989.81,63215,45405491.48
4/8/2013,112858,155,30521685,5.33290242,2051514747,384690096.3,7672999.92,0.13942276,8674.187035,59.12116871,3875,722110.7522,22.07559266,110.2333641,186.3511618,11008864.81,62215,92931355.4
4/9/2013,113921,176,32007037,5.64074143,2540572929,450396984.2,7672999.92,0.169498122,11505.02405,67.1311335,4400,1015005.185,17.02701948,125.7251655,230.6829967,11013264.81,67877,149208317.5
4/10/2013,132897,191,31824897,3.7993504,1776029675,467456140.4,7672999.92,0.166574116,10452.02604,72.85253693,4775,769696.0481,12.18818846,81.60347491,161.1928897,11018039.81,62747,145717280.3
4/11/2013,124532,160,34807628,2.09881888,913744570.2,435361326.7,7672999.92,0.076339552,5177.88278,61.02830318,4000,331606.3402,15.00718091,40.83412902,82.90158504,11022039.81,67827,60887156.33
4/12/2013,102302,173,27909818,2.84072926,1229179119,432698440.2,7672999.92,0.107920532,6310.761011,65.98685282,4325,482135.3141,15.40029538,52.92981132,111.4763732,11026364.46,58476,79815295.02
4/13/2013,80991,167,24101207,2.50198944,1076680753,430329854.5,7672999.92,0.073691887,3914.955174,63.69829145,4175,407517.8751,34.27534913,45.77559321,97.60907187,11030539.81,53126,31412685.21
4/14/2013,73989,153,27536541,2.29456796,980530113.2,427326682.4,7672999.92,0.084714751,4800.954351,58.35831492,3825,339895.2046,38.61974154,41.27691782,88.8614914,11034364.81,56672,25389349.44
4/15/2013,100211,164,26417913,2.11528578,892732454.1,422038696.3,7672999.92,0.111020578,5951.813193,62.55401076,4100,331586.242,24.4231698,37.05814804,80.87469317,11038464.81,53610,36552685.89
